critic,product ,rating
Jack Matthews,Glass bottles,3.0
Jack Matthews,plane toy,4.0
Jack Matthews,super hero toys,3.5
Jack Matthews,cushion,5.0
Jack Matthews,Pet bottles,3.0
Mick Lasalle,Glass bottles,3.0
Mick Lasalle,plane toy,4.0
Mick Lasalle,locket,2.0
Mick Lasalle,super hero toys,3.0
Mick Lasalle,cushion,2.0
Mick Lasalle,Pet bottles,3.0
Claudia Puig,plane toy,3.5
Claudia Puig,locket,3.0
Claudia Puig,super hero toys,2.5
Claudia Puig,cushion,4.0
Claudia Puig,Pet bottles,4.5
Lisa Rose,Glass bottles,2.5
Lisa Rose,plane toy,3.5
Lisa Rose,locket,3.0
Lisa Rose,cushion,3.5
Lisa Rose,Pet bottles,3.0
Lisa Rose,super hero toys,2.5
Toby,plane toy,4.5
Toby,cushion,4.0
Toby,super hero toys,1.0
Gene Seymour,Glass bottles,3.0
Gene Seymour,plane toy,3.5
Gene Seymour,locket,1.5
Gene Seymour,cushion,5.0
Gene Seymour,super hero toys,3.5
Gene Seymour,Pet bottles,3.0
